"collection","filename","description","userSet","log2OR_unadj","qValue_unadj","support_unadj","log2OR_adj","qValue_adj","support_adj","cell","comparison","sig_unadj","sig_adj","agreement"
"TF_motifs_vert","regionSet_141.bed","MA0474.2_ERG","loss",0.854046395810153,0.0308600133606957,31,0.869088193561654,0.113363840764455,21,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motif_clusters","regionSet_166.bed","pou_1","gain",0.367209470446908,0.0310808722938152,193,0.33127764543673,0.233298757428463,113,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs_vert","regionSet_209.bed","MA0605.1_Atf3","gain",0.940194056543832,0.0311755406535717,25,1.22711557271727,0.0248177865077345,18,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motif_clusters","regionSet_99.bed","irf_1","loss",0.460026584641407,0.0319709696476534,159,0.681155886608564,0.00814652172000071,115,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motifs","regionSet_406.bed","MA1112.1_NR4A1","loss",0.908739660813654,0.0326785973070357,27,0.983679408879324,0.0850021673661205,19,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs_vert","regionSet_532.bed","MA1112.1_NR4A1","loss",0.908739660813654,0.0326785973070357,27,0.983679408879324,0.0850021673661205,19,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"Superenhancers","regionSet_68.bed","UCSD_Adrenal_Gland","loss",0.828951108848643,0.0336612328411743,32,0.715368016711115,0.250848427902522,20,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motif_clusters","regionSet_281.bed","znf768","loss",0.455622774847255,0.0338870178231569,178,0.338117731651489,0.347303675524052,115,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motif_clusters","regionSet_14.bed","creb_atf_2","loss",0.493371965370516,0.0339705670948908,107,0.588843398050332,0.0493446920396656,75,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motifs","regionSet_160.bed","MA0640.1_ELF3","loss",0.705288320324907,0.034302627571173,44,0.893082170133985,0.0280196765932067,33,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motifs_vert","regionSet_244.bed","MA0640.1_ELF3","loss",0.705288320324907,0.034302627571173,44,0.893082170133985,0.0280196765932067,33,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motifs_vert","regionSet_41.bed","MA0063.1_Nkx2-5","gain",0.648795151153325,0.034302627571173,49,0.890903570520292,0.0214140096499961,34,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motif_clusters","regionSet_209.bed","tata","gain",0.486793366360212,0.0344098435919174,89,0.284406591995185,0.572640646554022,47,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motif_clusters","regionSet_72.bed","hd_19","gain",0.794440950113623,0.0346492661843811,33,0.480288670741588,0.589100361557244,16,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motif_clusters","regionSet_241.bed","znf250","gain",0.604574555066903,0.0348702063826691,56,0.897366434621339,0.00961947919315036,40,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motifs","regionSet_267.bed","MA0759.1_ELK3","loss",0.914312922496919,0.0348702063826691,26,0.963247131731262,0.105195416436001,18,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs_vert","regionSet_363.bed","MA0759.1_ELK3","loss",0.914312922496919,0.0348702063826691,26,0.963247131731262,0.105195416436001,18,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motif_clusters","regionSet_67.bed","hd_14","gain",0.436513417129627,0.035175495780761,113,0.607839134897125,0.024373598596495,74,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motifs","regionSet_398.bed","MA1104.1_GATA6","gain",0.754115491905291,0.0355343549070499,36,0.567957505648279,0.425061583028602,19,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs_vert","regionSet_524.bed","MA1104.1_GATA6","gain",0.754115491905291,0.0355343549070499,36,0.567957505648279,0.425061583028602,19,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"Superenhancers","regionSet_77.bed","UCSD_Psoas_Muscle","loss",0.923489328223562,0.0373311839630545,25,0.405089196427271,0.804363451698919,12,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs_vert","regionSet_87.bed","MA0117.2_Mafb","gain",0.656441369583366,0.0386903296209735,46,0.901307242887375,0.024462830361606,32,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motifs","regionSet_178.bed","MA0659.1_MAFG","gain",0.851024273894411,0.0386903296209735,28,0.879407100454776,0.160064244001156,17,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs_vert","regionSet_263.bed","MA0659.1_MAFG","gain",0.851024273894411,0.0386903296209735,28,0.879407100454776,0.160064244001156,17,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,FALSE,"unadjusted only"
"TF_motifs","regionSet_136.bed","MA0526.2_USF2","loss",0.819774687874691,0.0387633217705935,31,1.11665079119914,0.0146324002536244,25,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
"TF_motifs_vert","regionSet_192.bed","MA0526.2_USF2","loss",0.819774687874691,0.0387633217705935,31,1.11665079119914,0.0146324002536244,25,"Mono_CD14","C19_sev vs C19_ctrl",TRUE,TRUE,"significant in both"
