"embedding","Dim","dim_index","var_share_between_pseudobulks","covariate","r2","adj_r2","p","n","n_group","unit","p_adj"
"IterativeLSI","Dim5",5,0.0622711891091169,"Sampling_day",0.00212966981790923,-0.0186592953942177,0.750307316429502,50,50,"sample",0.987602938191756
"IterativeLSI","Dim5",5,0.0622711891091169,"Batch_C19",0.579627861545799,0.56135081204779,9.87914063502358e-06,25,25,"sample",5.05001506739637e-05
"IterativeLSI","Dim5",5,0.0622711891091169,"Supplier",0.950138311330794,0.949005091133767,5.03207654470569e-58,91,91,"sample",5.03207654470569e-57
"IterativeLSI","Dim5",5,0.0622711891091169,"QC_tss_cutoff",0.407058830099281,0.400396569763318,1.03160577633205e-11,91,91,"sample",4.40435177003204e-11
"IterativeLSI","Dim5",5,0.0622711891091169,"QC_frag_cutoff",0.000439139923609105,-0.0107918809761256,0.843700383062338,91,91,"sample",0.843700383062338
"IterativeLSI","Dim5",5,0.0622711891091169,"QC_nCells",0.014146400343858,0.0128177566785532,0.00172122289791326,834,91,"pseudobulk (LMM)",0.0052652884513396
"IterativeLSI","Dim5",5,0.0622711891091169,"QC_meanTSS",0.0309458395042504,0.029639836592531,0.00187121694343165,834,91,"pseudobulk (LMM)",0.00207912993714627
"IterativeLSI","Dim5",5,0.0622711891091169,"QC_meanLog10Frags",0.014390553941675,0.0130622393243457,6.94935450880295e-11,834,91,"pseudobulk (LMM)",2.31645150293432e-10
"IterativeLSI","Dim5",5,0.0622711891091169,"QC_meanFRIP",0.0871530485299831,0.085922796573824,3.03672983547096e-35,834,91,"pseudobulk (LMM)",1.51836491773548e-34
"IterativeLSI","Dim6",6,0.0243075051859737,"CellType",0.826476249922684,0.823868652585457,2.78749596533821e-270,834,91,"pseudobulk (LMM)",3.98213709334031e-270
"IterativeLSI","Dim6",6,0.0243075051859737,"Cohort",0.429813858712216,0.410152267633327,1.21651172128222e-10,91,91,"sample",2.43302344256443e-10
"IterativeLSI","Dim6",6,0.0243075051859737,"Control_status",0.00676940588167364,-0.00439048843426271,0.438143058097291,91,91,"sample",0.651390107537724
"IterativeLSI","Dim6",6,0.0243075051859737,"Exposure_group",0.536982052529407,0.458810191268138,1.40291361809377e-08,91,91,"sample",2.33818936348962e-08
"IterativeLSI","Dim6",6,0.0243075051859737,"Age",0.251326753220035,0.238848865773703,3.31771225698583e-05,62,62,"sample",0.000331771225698583
"IterativeLSI","Dim6",6,0.0243075051859737,"Sex_observed",0.000691268869987462,-0.0159638766488461,0.83925599364374,62,62,"sample",0.870654208936376
"IterativeLSI","Dim6",6,0.0243075051859737,"Sex_predicted",0.0407371862358766,0.0299589523733584,0.0550403618312099,91,91,"sample",0.440797641091524
"IterativeLSI","Dim6",6,0.0243075051859737,"Sampling_day",0.00850496941762574,-0.0121511770528404,0.524140026012846,50,50,"sample",0.987602938191756
"IterativeLSI","Dim6",6,0.0243075051859737,"Batch_C19",0.578840604975267,0.560529326930714,1.01000301347927e-05,25,25,"sample",5.05001506739637e-05
"IterativeLSI","Dim6",6,0.0243075051859737,"Supplier",0.333431744731799,0.318282466202976,1.77485788591614e-08,91,91,"sample",2.95809647652691e-08
"IterativeLSI","Dim6",6,0.0243075051859737,"QC_tss_cutoff",0.17050817521733,0.161188042354604,4.74818215199844e-05,91,91,"sample",7.9136369199974e-05
"IterativeLSI","Dim6",6,0.0243075051859737,"QC_frag_cutoff",0.119443572289236,0.109549679843048,0.000792735055331461,91,91,"sample",0.00405890475134861
"IterativeLSI","Dim6",6,0.0243075051859737,"QC_nCells",0.00188254255629931,0.000537370780768653,0.45561825984429,834,91,"pseudobulk (LMM)",0.5062425109381
"IterativeLSI","Dim6",6,0.0243075051859737,"QC_meanTSS",-0.00472870366638911,-0.00608278547726049,5.06513296092675e-06,834,91,"pseudobulk (LMM)",7.23590422989536e-06
"IterativeLSI","Dim6",6,0.0243075051859737,"QC_meanLog10Frags",0.19565873817208,0.194574720298996,4.18317327077919e-66,834,91,"pseudobulk (LMM)",4.18317327077919e-65
"IterativeLSI","Dim6",6,0.0243075051859737,"QC_meanFRIP",0.136488970607936,0.135325209112798,1.49529740517437e-46,834,91,"pseudobulk (LMM)",1.49529740517437e-45
"IterativeLSI","Dim7",7,0.0250818285400667,"CellType",0.956453220209274,0.955798828709686,0,834,91,"pseudobulk (LMM)",0
"IterativeLSI","Dim7",7,0.0250818285400667,"Cohort",0.18303460376892,0.154863383209228,0.00051038123528969,91,91,"sample",0.000729116050413843
"IterativeLSI","Dim7",7,0.0250818285400667,"Control_status",0.00285566374295428,-0.00834820520375401,0.614906159430288,91,91,"sample",0.683229066033654
"IterativeLSI","Dim7",7,0.0250818285400667,"Exposure_group",0.318664622313067,0.203633974132157,0.00279412901826335,91,91,"sample",0.00399161288323335
"IterativeLSI","Dim7",7,0.0250818285400667,"Age",0.174973671114466,0.161223232299707,0.000716413838289651,62,62,"sample",0.00358206919144826
"IterativeLSI","Dim7",7,0.0250818285400667,"Sex_observed",0.001486161607353,-0.0151557356991912,0.766098465139655,62,62,"sample",0.870654208936376
"IterativeLSI","Dim7",7,0.0250818285400667,"Sex_predicted",0.0186923415412892,0.00766641279456204,0.196262521594027,91,91,"sample",0.514010631059144
"IterativeLSI","Dim7",7,0.0250818285400667,"Sampling_day",0.00540074342433489,-0.0153200744209914,0.612018515558221,50,50,"sample",0.987602938191756
"IterativeLSI","Dim7",7,0.0250818285400667,"Batch_C19",0.0601973157142013,0.0193363294409058,0.237155179406765,25,25,"sample",0.338793113438235
"IterativeLSI","Dim7",7,0.0250818285400667,"Supplier",0.135736218569326,0.116093859900447,0.00163093928048683,91,91,"sample",0.00203867410060854
"IterativeLSI","Dim7",7,0.0250818285400667,"QC_tss_cutoff",0.128697740570252,0.118907827542951,0.000479613108545485,91,91,"sample",0.000532903453939428
