"embedding","PC","pc_index","var_explained","covariate","r2","p","n","p_adj"
"Harmony","PC1",1,0.377945821502994,"Sex_observed",0.00013484325290113,0.785646695575875,551,0.896640202560319
"Harmony","PC1",1,0.377945821502994,"Sex_predicted",4.52553917335195e-05,0.846186544515556,834,0.956051812504141
"Harmony","PC1",1,0.377945821502994,"Sampling_day",0.000215806213084859,0.766798904004239,410,0.996871945501572
"Harmony","PC1",1,0.377945821502994,"QC_nCells",0.00444994076937941,0.0541397699656997,834,0.0902329499428328
"Harmony","PC1",1,0.377945821502994,"QC_meanTSS",5.821682462252e-05,0.825855742686298,834,0.862301060513718
"Harmony","PC1",1,0.377945821502994,"QC_meanLog10Frags",3.51153036562154e-05,0.86432061117097,834,0.910533040964418
"Harmony","PC1",1,0.377945821502994,"QC_meanFRIP",0.000109075218070364,0.763287854377047,834,0.955998349409727
"Harmony","PC2",2,0.0853454971053428,"CellType",0.947142438665787,0,834,0
"Harmony","PC2",2,0.0853454971053428,"Cohort",0.00590946295997809,0.177571055750284,834,0.443927639375711
"Harmony","PC2",2,0.0853454971053428,"Control_status",0.00171566933638626,0.232123062541396,834,0.477398735243361
"Harmony","PC2",2,0.0853454971053428,"Exposure_group",0.0192262072528551,0.247757989146111,834,0.450263387248965
"Harmony","PC2",2,0.0853454971053428,"Age",0.00146929642326144,0.369156414961585,551,0.626844181188285
"Harmony","PC2",2,0.0853454971053428,"Sex_observed",0.000155499278234594,0.770242085725112,551,0.896640202560319
"Harmony","PC2",2,0.0853454971053428,"Sex_predicted",5.82275151813459e-05,0.825840009972928,834,0.956051812504141
"Harmony","PC2",2,0.0853454971053428,"Sampling_day",0.000402269265862382,0.685538468445061,410,0.996871945501572
"Harmony","PC2",2,0.0853454971053428,"QC_nCells",0.0725968788206287,2.44676092546125e-15,834,2.44676092546125e-14
"Harmony","PC2",2,0.0853454971053428,"QC_meanTSS",0.00279512480454799,0.127113933328053,834,0.423713111093511
"Harmony","PC2",2,0.0853454971053428,"QC_meanLog10Frags",1.51846884652146e-05,0.910533040964418,834,0.910533040964418
"Harmony","PC2",2,0.0853454971053428,"QC_meanFRIP",0.00369162170288022,0.0794916661497592,834,0.198729165374398
"Harmony","PC3",3,0.0662952627995992,"CellType",0.935168289077342,0,834,0
"Harmony","PC3",3,0.0662952627995992,"Cohort",0.000845065103680646,0.872704475686052,834,0.969671639651169
"Harmony","PC3",3,0.0662952627995992,"Control_status",0.000154760924426679,0.719790327581799,834,0.719790327581799
"Harmony","PC3",3,0.0662952627995992,"Exposure_group",0.00595831168416879,0.976633632031049,834,0.999777826659473
"Harmony","PC3",3,0.0662952627995992,"Age",0.00063633370435104,0.554600191866716,551,0.693250239833395
"Harmony","PC3",3,0.0662952627995992,"Sex_observed",0.0033395816937874,0.17555843473978,551,0.438896086849451
"Harmony","PC3",3,0.0662952627995992,"Sex_predicted",0.000367572817836188,0.580335210117911,834,0.956051812504141
"Harmony","PC3",3,0.0662952627995992,"Sampling_day",0.000227689917957763,0.760654418340843,410,0.996871945501572
