"embedding","Dim","covariate","r2_grouped","p_grouped","n_grouped","n_groups","unit_grouped","r2_cell","p_cell","n_cells","per_cell_value","p_cell_adj"
"IterativeLSI","Dim8","QC_nCells",0.00117778058142859,0.421878359611134,834,91,"per pseudobulk, sample-adjusted",0.00299566356892174,5.04492933865702e-179,271299,FALSE,6.30616167332128e-179
"IterativeLSI","Dim8","QC_meanTSS",0.046530420999495,1.93159735874853e-09,834,91,"per pseudobulk, sample-adjusted",0.0256660712474687,0,271299,TRUE,0
"IterativeLSI","Dim8","QC_meanLog10Frags",0.0452539984502965,4.05110104771454e-09,834,91,"per pseudobulk, sample-adjusted",0.0263028731903115,0,271299,TRUE,0
"IterativeLSI","Dim8","QC_meanFRIP",0.0590688804218555,1.0865326916395e-11,834,91,"per pseudobulk, sample-adjusted",0.0275063978355337,0,271299,TRUE,0
"IterativeLSI","Dim9","CellType",0.571004032771644,1.78400472698436e-150,834,91,"per pseudobulk, sample-adjusted",0.265330916799592,0,271299,TRUE,0
"IterativeLSI","Dim9","Cohort",0.560183749696989,5.73511205829878e-15,91,91,"per sample",0.0425253862545201,0,271299,FALSE,0
"IterativeLSI","Dim9","Control_status",0.00129765028500935,0.734612473163329,91,91,"per sample",0.000439676694045796,8.9623341923218e-28,271299,FALSE,1.28033345604597e-27
"IterativeLSI","Dim9","Exposure_group",0.667688346690447,4.17809930240143e-13,91,91,"per sample",0.0555430942195939,0,271299,FALSE,0
"IterativeLSI","Dim9","Age",0.012372972576076,0.459677267520766,62,62,"per sample",0.00173627871642497,6.78612786677591e-61,155962,FALSE,1.35722557335518e-60
"IterativeLSI","Dim9","Sex_observed",0.000959526873588815,0.870654208936376,62,62,"per sample",0.00268266016895753,4.13342352271532e-93,155962,FALSE,4.13342352271532e-92
"IterativeLSI","Dim9","Sex_predicted",0.00388341777805467,0.796178044383669,91,91,"per sample",0.00399561611264213,3.35114231417049e-238,271299,FALSE,5.58523719028416e-238
"IterativeLSI","Dim9","Days_from_onset",0.0101884541192035,0.987602938191756,50,50,"per sample",0.000285763414633824,1.0284625316312e-09,130407,FALSE,1.46923218804457e-09
"IterativeLSI","Dim9","QC_nCells",0.00277556675823218,0.186373361722172,834,91,"per pseudobulk, sample-adjusted",0.015165527498405,0,271299,FALSE,0
"IterativeLSI","Dim9","QC_meanTSS",0.139593455468829,1.49377346713056e-28,834,91,"per pseudobulk, sample-adjusted",0.0716211749281407,0,271299,TRUE,0
"IterativeLSI","Dim9","QC_meanLog10Frags",0.000884041372199893,0.402722798736078,834,91,"per pseudobulk, sample-adjusted",0.00714440970923609,0,271299,TRUE,0
"IterativeLSI","Dim9","QC_meanFRIP",0.00149109564625594,0.264891599101974,834,91,"per pseudobulk, sample-adjusted",2.9342969126716e-05,0.00478022951037643,271299,TRUE,0.00531136612264047
"IterativeLSI","Dim10","CellType",0.334926030828731,1.83502440125175e-66,834,91,"per pseudobulk, sample-adjusted",0.118563698504954,0,271299,TRUE,0
"IterativeLSI","Dim10","Cohort",0.417804569505912,4.95326734102416e-10,91,91,"per sample",0.0228326827276837,0,271299,FALSE,0
"IterativeLSI","Dim10","Control_status",0.0241717787533032,0.352837495264876,91,91,"per sample",2.58251262669167e-05,0.00812207923211731,271299,FALSE,0.0101525990401466
"IterativeLSI","Dim10","Exposure_group",0.53723107557296,2.33818936348962e-08,91,91,"per sample",0.0272304591572158,0,271299,FALSE,0
"IterativeLSI","Dim10","Age",0.0270375319322298,0.335948170855538,62,62,"per sample",0.000142371338938077,2.44939962496089e-06,155962,FALSE,4.08233270826815e-06
"IterativeLSI","Dim10","Sex_observed",0.00588048922753431,0.870654208936376,62,62,"per sample",0.00198430625906939,2.44004689440644e-69,155962,FALSE,6.1001172360161e-69
"IterativeLSI","Dim10","Sex_predicted",0.0323200907608405,0.440797641091524,91,91,"per sample",0.00737063677586975,0,271299,FALSE,0
"IterativeLSI","Dim10","Days_from_onset",0.000236903193242398,0.987602938191756,50,50,"per sample",2.23545172838733e-06,0.589252406101513,130407,FALSE,0.654724895668348
"IterativeLSI","Dim10","QC_nCells",0.013419427834083,0.0052652884513396,834,91,"per pseudobulk, sample-adjusted",0.00880223585247972,0,271299,FALSE,0
"IterativeLSI","Dim10","QC_meanTSS",0.0495386516444711,1.93159735874853e-09,834,91,"per pseudobulk, sample-adjusted",0.0247960198848197,0,271299,TRUE,0
"IterativeLSI","Dim10","QC_meanLog10Frags",0.00379504230346929,0.111495928139366,834,91,"per pseudobulk, sample-adjusted",0.00786612983686744,0,271299,TRUE,0
"IterativeLSI","Dim10","QC_meanFRIP",0.0210399229317736,0.000721169147871295,834,91,"per pseudobulk, sample-adjusted",3.75532675002938e-06,0.312801704153658,271299,TRUE,0.312801704153658
