"embedding","Dim","dim_index","var_share_between_samples","var_share_cells","depth_cor","covariate","r2","adj_r2","p","r2_partial_adjCohort","adj_r2_partial_adjCohort","p_adjCohort","n","n_group","unit","p_adj","p_adjCohort_bh"
"Harmony","Dim2",2,0.663019128434465,0.503627103385333,0.0964465107343519,"Exposure_group",0.509948870282729,0.0198977405654579,0.00028657097174199,0.648514999415706,0.428836874050522,0.00880624863587435,92,66,"sample (LMM)",0.0028657097174199,0.0286321124111634
"Harmony","Dim2",2,0.663019128434465,0.503627103385333,0.0964465107343519,"Age",0.0331489169291408,0.0138118952677236,0.196417093922594,0.0105246787341208,-0.0100893904589183,0.478358130093783,52,52,"donor",0.392834187845187,0.683368757276833
"Harmony","Dim2",2,0.663019128434465,0.503627103385333,0.0964465107343519,"Sex_observed",0.0224126992642878,0.00286095324957347,0.289460521533663,0.0116791241034954,-0.00891089414434854,0.455042937822437,52,52,"donor",0.852137968403656,0.775485579195205
"Harmony","Dim2",2,0.663019128434465,0.503627103385333,0.0964465107343519,"Sex_predicted",0.00233807896941588,-0.013250388546687,0.699832002560577,0.0022767429716276,-0.0140793759960507,0.710372756860098,66,66,"donor",0.80307348026436,0.815566738301016
"Harmony","Dim2",2,0.663019128434465,0.503627103385333,0.0964465107343519,"Sampling_day",0.0123860097457238,-0.0271185498644473,0.661659214278898,0.0206588693461635,-0.01851477587999,0.704906743902114,50,24,"sample (LMM)",0.661659214278898,0.704906743902114
"Harmony","Dim2",2,0.663019128434465,0.503627103385333,0.0964465107343519,"Viral_load",0.480546121443799,0.406338424507199,0.0295997317126481,0.480546121443799,0.406338424507199,0.0295997317126481,12,4,"sample (LMM)",0.0522037725191535,0.0522037725191535
"Harmony","Dim2",2,0.663019128434465,0.503627103385333,0.0964465107343519,"Batch_C19",0.348531269280025,0.315957832744026,0.00382175994708798,0.348531269280025,0.315957832744026,0.00382175994708798,22,22,"donor",0.0127391998236266,0.0127391998236266
"Harmony","Dim2",2,0.663019128434465,0.503627103385333,0.0964465107343519,"Supplier",0.157280030585452,0.130527015683403,0.00456061577801305,NA,NA,NA,66,66,"donor",0.0456061577801305,NA
"Harmony","Dim2",2,0.663019128434465,0.503627103385333,0.0964465107343519,"QC_tss_cutoff",0.145137864032768,0.110943378594078,2.16461883158794e-07,0.350159029554317,0.32416539073649,9.86223232287376e-05,92,66,"sample (LMM)",2.16461883158794e-06,0.000941848910421582
"Harmony","Dim2",2,0.663019128434465,0.503627103385333,0.0964465107343519,"QC_frag_cutoff",-0.026462230080016,-0.0675207192832166,0.122428499194389,-0.0988201279801221,-0.142772933099327,0.0775148342228826,92,66,"sample (LMM)",0.174897855991985,0.110735477461261
"Harmony","Dim2",2,0.663019128434465,0.503627103385333,0.0964465107343519,"QC_nCells",0.318287988554376,0.291019508096552,7.75287816297906e-06,0.393370140933428,0.369104946570765,4.5239796268121e-05,92,66,"sample (LMM)",3.87643908148953e-05,0.000226198981340605
"Harmony","Dim2",2,0.663019128434465,0.503627103385333,0.0964465107343519,"QC_meanTSS",0.341515204730331,0.315175812919544,5.15973986577966e-08,0.63837601114965,0.623911051595636,2.34723827367073e-08,92,66,"sample (LMM)",5.15973986577966e-07,2.34723827367073e-07
"Harmony","Dim2",2,0.663019128434465,0.503627103385333,0.0964465107343519,"QC_meanLog10Frags",-0.0310008323432525,-0.0722408656369824,0.734775889642763,-0.00558140838568728,-0.0458046647211148,0.00804597586726513,92,66,"sample (LMM)",0.745424576767566,0.0114942512389502
"Harmony","Dim2",2,0.663019128434465,0.503627103385333,0.0964465107343519,"QC_meanFRIP",0.227176181885626,0.196263229161051,1.26303281715404e-06,0.399137357476318,0.37510285177537,0.000109735286860089,92,66,"sample (LMM)",1.26303281715404e-05,0.000329205860580266
"Harmony","Dim3",3,0.0722597040469187,0.148766445372252,0.0858464605798161,"Cohort",0.0582960403949766,0.0127297197689271,0.289321320054826,NA,NA,NA,66,66,"donor",0.482202200091376,NA
"Harmony","Dim3",3,0.0722597040469187,0.148766445372252,0.0858464605798161,"Control_status",0.125362148361796,0.0903766342962679,0.162733375869844,0.118261635669349,0.0829921010961234,0.049524910024624,92,66,"sample (LMM)",0.388374748866339,0.165083033415413
"Harmony","Dim3",3,0.0722597040469187,0.148766445372252,0.0858464605798161,"Exposure_group",0.48948665393302,-0.0210266921339595,0.0811048894144084,0.528002398150475,0.233003896994522,0.102280245318102,92,66,"sample (LMM)",0.10138111176801,0.113644717020113
