"motif","zdiff","p","donors_consistent","padj","mlog10padj","robust","group"
"ATF1_118",-0.1052,2.707e-06,2,4.603e-06,5.337,FALSE,"NO"
"MZF1_171",0.1046,0.003002,3,0.004076,2.39,FALSE,"NO"
"NFIX_738",-0.1041,0.0241,2,0.0308,1.511,FALSE,"NO"
"HOXC11_453",-0.1037,0.000164,4,0.0002495,3.603,TRUE,"NO"
"PAX2_606",0.103,0.0001326,4,0.0002036,3.691,TRUE,"NO"
"HOXC10_548",-0.1026,0.002134,3,0.002958,2.529,FALSE,"NO"
"NANOGP1_835",-0.1024,0.0002444,4,0.0003655,3.437,TRUE,"NO"
"ATF5_136",-0.102,0.0002232,4,0.0003345,3.476,TRUE,"NO"
"SOX9_756",0.1019,0.0006101,4,0.0008837,3.054,TRUE,"NO"
"CENPB_289",-0.1017,9.178e-05,3,0.0001427,3.846,FALSE,"NO"
"HOXD13_465",-0.1015,0.0006521,3,0.0009398,3.027,FALSE,"NO"
"CXXC1_303",0.1005,0.000245,2,0.0003658,3.437,FALSE,"NO"
"VENTX_490",-0.1004,0.0002933,4,0.0004335,3.363,TRUE,"NO"
"DBX2_554",-0.1002,0.0004007,4,0.0005882,3.23,TRUE,"NO"
"FOXI1_365",-0.09997,0.001266,4,0.001798,2.745,TRUE,"NO"
"SIX6_552",-0.09984,0.0001515,3,0.0002322,3.634,FALSE,"NO"
"POU2F3_613",-0.09916,0.0003211,3,0.000473,3.325,FALSE,"NO"
"SOX21_755",0.09883,0.0001637,3,0.0002495,3.603,FALSE,"NO"
"OTP_530",-0.0978,0.0008813,4,0.001262,2.899,TRUE,"NO"
"SOX13_761",0.09695,0.002527,3,0.003459,2.461,FALSE,"NO"
"GMEB1_737",0.09613,0.0004872,3,0.000708,3.15,FALSE,"NO"
"HES7_83",-0.09606,0.001667,4,0.002328,2.633,TRUE,"NO"
"GABPA_338",-0.09577,2.689e-05,2,4.303e-05,4.366,FALSE,"NO"
"GLIS1_250",-0.09564,0.0004535,3,0.0006613,3.18,FALSE,"NO"
"CLOCK_53",-0.09525,0.002146,4,0.002969,2.527,TRUE,"NO"
"NANOG_433",-0.09501,0.00151,3,0.002124,2.673,FALSE,"NO"
"IRX1_526",0.09485,0.0009509,4,0.001352,2.869,TRUE,"NO"
"IRX3_542",0.09485,0.0009509,4,0.001352,2.869,TRUE,"NO"
"MEOX2_421",-0.09446,0.004318,4,0.005764,2.239,TRUE,"NO"
"FOXJ2_350",-0.09399,0.0004587,3,0.0006678,3.175,FALSE,"NO"
"FOXJ3_378",0.09372,0.0006304,3,0.00091,3.041,FALSE,"NO"
"SOX30_747",-0.09351,0.0003403,3,0.0005004,3.301,FALSE,"NO"
"TBX15_782",0.09337,0.003685,3,0.004942,2.306,FALSE,"NO"
