"Cell_Type","Donor","Exposure","Residuals","Motif"
0.154829336400631,0.0264510438800571,0.017393016627942,0.80132660309137,"p53_like_2"
0.253797730836377,0.066270589530408,0.145566915058542,0.534364764574673,"p53_like_3"
0.362996926143306,0.0192965443138608,0.0281266941564685,0.589579835386364,"pax_halfsite"
0.812405025271213,0,0.0113744626726788,0.176220512056108,"pax_1"
0.734863986390511,0,0.0420030075401985,0.22313300606929,"pax_2"
0.460185541839558,0.055315071877424,0.116063176973983,0.368436209309035,"plag1"
0.790494333208959,0,0.036208852427773,0.173296814363268,"pou_1"
0.464561328933524,0.00557548052851515,0.0992140345024127,0.430649156035549,"pou_2"
0.243305750184765,0.0307618399803409,0.0338797470879112,0.692052662746983,"pou_3"
0.547443626878733,0.037016300331974,0.0801841073652541,0.335355965424038,"prdm1"
0.416375487776929,0.0228428520386006,0,0.560781660184471,"prdm14"
0.716519108944472,0.0095537502788589,0.0269692368157084,0.246957903960961,"prdm16"
0.155807144153884,0.0121454163256842,2.44466522909544e-10,0.832047439275966,"prdm4"
0.579639152738028,0.0510621940363696,0.0499234754194214,0.319375177806181,"prdm5"
0.177817893044504,0.0461255690659227,0.263193785553992,0.512862752335582,"prdm9"
0.508665734526087,0.0149859484921825,0.0660662890377693,0.410282027943961,"prox1"
0.660922644674544,0.00500001499791316,0.0236556680419919,0.310421672285551,"rbpj"
0.670908890207552,0.00362184242864086,0.00718625405776136,0.318283013306045,"rel_halfsite"
0.478140545096984,0.0535901054478134,0.119810194498463,0.34845915495674,"rest_nrsf"
0.392437481686499,0.0480439608059387,0.341443612607794,0.218074944899768,"rfx_1"
0.666409538135479,0.0304256080785379,0.0189130563607745,0.284251797425208,"rfx_2"
0.0414325050198726,0.0571228361894843,0.147400814875934,0.754043843914709,"rfx_3"
0.664733598745735,0.024549184879516,0.166478349712257,0.144238866662492,"runx_1"
0.733763413233257,0.00667779051222606,0.0897535611143152,0.169805235140202,"runx_2"
