"","name","Log2FC_atac","FDR_atac","isDiff_1","Log2FC_rna","FDR_rna","isDiff_2"
"199","AGTRAP",0.116020701641667,0.900945802475792,FALSE,-0.226146828003723,1,FALSE
"200","AHCTF1",-0.368707607310997,0.475840838357059,FALSE,-0.165169175794607,1,FALSE
"201","AHCY",0.213486090238716,0.518857855474235,FALSE,-0.560694499357165,1,FALSE
"202","AHCYL1",0.106676730913509,0.818151027555533,FALSE,-0.078553533488626,1,FALSE
"203","AHCYL2",-0.333982929546018,0.421227998301592,FALSE,-0.207332904053581,1,FALSE
"204","AHDC1",0.0605197815234124,0.970878004781041,FALSE,-0.495006596289923,1,FALSE
"205","AHI1",0.167141613310183,0.712423115876664,FALSE,1.33667765512942,1,FALSE
"206","AHNAK",0.16758267723692,0.484108115490731,FALSE,0.0815888754271263,8.67084633101715e-14,FALSE
"207","AHR",-0.0333603192416627,0.989721069095888,FALSE,-1.3040887494912,5.24570989633816e-56,TRUE
"208","AHSA1",0.132567561362415,1,FALSE,0.516909536688854,1,FALSE
"209","AIDA",0.056261835356497,0.913424412775061,FALSE,0.0202877437834887,1,FALSE
"210","AIF1",0.110627063791643,0.969339553323454,FALSE,-0.0389101394042024,0.478103549911308,FALSE
"211","AIFM1",-0.293475366408891,0.60959583256293,FALSE,0.784199506958071,1,FALSE
"212","AIFM3",0.267261835705277,0.720035329352911,FALSE,-0.339595751880919,1,FALSE
"213","AIG1",-0.157159215104478,0.982195330123428,FALSE,-0.134383211359116,1,FALSE
"214","AIM2",0.0326623918042905,0.819567165997573,FALSE,1.08008566040717,1,FALSE
"215","AIMP1",0.0123304459349724,0.593421587036768,FALSE,0.621379978261216,1,FALSE
"216","AIMP2",0.123851768956551,0.872038392630553,FALSE,0.102555941210866,1,FALSE
"217","AIP",0.227010021501908,0.928149188493418,FALSE,0.0336682831607416,1,FALSE
"218","AK2",0.204340348046289,0.633540289303773,FALSE,0.0826887969005679,1,FALSE
